iter,fitness,moved_station,old_cell,new_cell,layout
85,0.30014583593788646,7,4022,910,"[3744 3374 4781 2657 1255 3238 1967  910 3066 1108 2566 3646  962 6976
  947 3656 2370 2762 7252 2170 1172 6127 3464  628  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
86,0.2897730738936409,13,6976,813,"[3744 3374 4781 2657 1255 3238 1967  910 3066 1108 2566 3646  962  813
  947 3656 2370 2762 7252 2170 1172 6127 3464  628  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
87,0.29377721604572576,7,910,1261,"[3744 3374 4781 2657 1255 3238 1967 1261 3066 1108 2566 3646  962  813
  947 3656 2370 2762 7252 2170 1172 6127 3464  628  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
88,0.3142300424142871,23,628,6905,"[3744 3374 4781 2657 1255 3238 1967 1261 3066 1108 2566 3646  962  813
  947 3656 2370 2762 7252 2170 1172 6127 3464 6905  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1997]"
89,0.3156547975154334,39,1997,1949,"[3744 3374 4781 2657 1255 3238 1967 1261 3066 1108 2566 3646  962  813
  947 3656 2370 2762 7252 2170 1172 6127 3464 6905  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1949]"
90,0.2969133916262267,23,6905,3354,"[3744 3374 4781 2657 1255 3238 1967 1261 3066 1108 2566 3646  962  813
  947 3656 2370 2762 7252 2170 1172 6127 3464 3354  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1949]"
91,0.29986340248478,11,3646,7120,"[3744 3374 4781 2657 1255 3238 1967 1261 3066 1108 2566 7120  962  813
  947 3656 2370 2762 7252 2170 1172 6127 3464 3354  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1949]"
92,0.3006155955066738,0,3744,2713,"[2713 3374 4781 2657 1255 3238 1967 1261 3066 1108 2566 7120  962  813
  947 3656 2370 2762 7252 2170 1172 6127 3464 3354  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1949]"
93,0.29735939517963855,18,7252,738,"[2713 3374 4781 2657 1255 3238 1967 1261 3066 1108 2566 7120  962  813
  947 3656 2370 2762  738 2170 1172 6127 3464 3354  753 2303 3228 1392
 3078 2175  521 2432 4081 3650 2261 1749 2732 3777 3663 1949]"
94,0.2982243893371115,31,2432,2718,"[2713 3374 4781 2657 1255 3238 1967 1261 3066 1108 2566 7120  962  813
  947 3656 2370 2762  738 2170 1172 6127 3464 3354  753 2303 3228 1392
 3078 2175  521 2718 4081 3650 2261 1749 2732 3777 3663 1949]"
